Date,Year,Week,Groups,Participants,Sport Entries,Volunteer Vacancies
26/02/2019,2019,15,1,4,0,0
5/03/2019,2019,14,1,4,0,0
12/03/2019,2019,13,2,4,0,0
19/03/2019,2019,12,23,33,0,0
26/03/2019,2019,11,30,94,0,0
2/04/2019,2019,10,46,355,0,0
9/04/2019,2019,9,51,455,392,228
16/04/2019,2019,8,55,677,589,186
23/04/2019,2019,7,65,998,691,177
30/04/2019,2019,6,70,1786,976,149
7/05/2019,2019,5,72,2271,2472,90
14/05/2019,2019,4,71,2681,2378,77
21/05/2019,2019,3,71,2896,2202,51
28/05/2019,2019,2,72,3185,2139,19
4/06/2019,2019,1,71,3247,2098,9
11/06/2019,2019,0,71,3518,2091,4